gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
ASB3,ENSG00000115239,-0.5662,0.046191768820796654,0.08268098323524804,0.1165,0.1725,0.071,0.106
PIGQ,ENSG00000007541,0.4456,0.04627135354634075,0.08278933821012635,0.2955,0.217,0.174,0.149
RSBN1,ENSG00000081019,-0.1823,0.046379267978420444,0.08294827104288693,0.2734,0.3102,0.166,0.209
RANBP17,ENSG00000204764,0.4276,0.04644385847043167,0.08302962110756727,0.212,0.1576,0.126,0.092
CFAP36,ENSG00000163001,-0.1346,0.04657196454647075,0.08322440703904682,0.3435,0.3771,0.203,0.252
TRIB1,ENSG00000173334,0.1318,0.046597360883555344,0.08323556531028833,0.6887,0.6286,0.372,0.369
FGFR1OP2,ENSG00000111790,-0.1305,0.04667655497453567,0.08334277235798358,0.2649,0.29,0.154,0.201
TMEM11,ENSG00000178307,-0.1513,0.04669743151249387,0.08334580589457839,0.2683,0.298,0.163,0.209
CHCHD3,ENSG00000106554,-0.1574,0.046758475174197914,0.08342049799140565,0.3755,0.4188,0.224,0.273
ATP2C2,ENSG00000064270,-0.1656,0.04693185158806699,0.08369545629944158,0.299,0.3354,0.173,0.219
PRPF19,ENSG00000110107,-0.2633,0.04696593602206597,0.08372188595237845,0.1538,0.1846,0.094,0.133
DTX3L,ENSG00000163840,0.4467,0.04702071132602698,0.08378516253501979,0.2811,0.2062,0.169,0.143
CDC42SE1,ENSG00000197622,-0.1583,0.047058133707147856,0.08381747913576416,0.2741,0.3059,0.161,0.206
HP,ENSG00000257017,-0.4444,0.047198855448452676,0.0840336852842996,0.2031,0.2763,0.108,0.141
FAF1,ENSG00000185104,-0.3278,0.04726176829176476,0.08411123873710469,0.2244,0.2816,0.136,0.173
SENP5,ENSG00000119231,-0.4932,0.04736997164733445,0.08417063680929751,0.1121,0.1578,0.068,0.104
RHOT1,ENSG00000126858,-0.1685,0.047350822980023535,0.08417063680929751,0.3078,0.346,0.182,0.227
MTR,ENSG00000116984,-0.3954,0.047372613353783184,0.08417063680929751,0.1251,0.1646,0.076,0.113
KRIT1,ENSG00000001631,-0.1738,0.047315184185826524,0.08417063680929751,0.2633,0.297,0.155,0.199
CNOT8,ENSG00000155508,-0.1435,0.04744134121665435,0.08425830360751116,0.4122,0.4553,0.241,0.294
IPO5,ENSG00000065150,-0.1784,0.04749923006421759,0.08432665598819022,0.2276,0.2576,0.136,0.179
AGO2,ENSG00000123908,-0.2223,0.04786679605678953,0.08494450619142806,0.2276,0.2655,0.134,0.174
TNRC6A,ENSG00000090905,-0.2201,0.04795747531995143,0.08507068887367712,0.2456,0.2861,0.146,0.187
EIF4EBP2,ENSG00000148730,-0.1373,0.04803092439938773,0.08516621682567894,0.3622,0.3983,0.214,0.266
AKT1S1,ENSG00000204673,-0.2724,0.04805765658023834,0.08517886439547953,0.1665,0.2012,0.104,0.142
TMX4,ENSG00000125827,-0.166,0.048127888039086957,0.08526856967707783,0.2462,0.2762,0.146,0.19
