gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
ATP5IF1,ENSG00000130770,-3.9767,3.5433299068740206e-218,1.0655060451095227e-216,0.0858,1.3521,0.049,0.71
ATP6V0E1,ENSG00000113732,-2.2556,8.375328391010957e-217,2.506700398718068e-215,0.3655,1.7459,0.177,0.833
ERP29,ENSG00000089248,-3.221,1.2525536258564056e-215,3.731322133100273e-214,0.1533,1.4303,0.08,0.739
CD74,ENSG00000019582,-1.9276,3.012775407953401e-215,8.933229407303689e-214,0.5554,2.1132,0.236,0.883
JUNB,ENSG00000171223,-3.3,2.5839558797129423e-214,7.626258672763892e-213,0.1534,1.5121,0.08,0.731
SFTPD,ENSG00000133661,-1.8682,4.87193385307732e-214,1.4312708900169547e-212,0.5545,2.0246,0.252,0.868
DDT,ENSG00000099977,-5.3183,5.5837778072554086e-214,1.6328708037272124e-212,0.0316,1.2661,0.017,0.678
COX5A,ENSG00000178741,-4.5958,6.412242579882555e-214,1.8665774633219766e-212,0.0531,1.2857,0.026,0.69
NDUFB9,ENSG00000147684,-3.8483,1.2422192657384712e-213,3.5996126450376156e-212,0.0921,1.3278,0.046,0.707
C19orf53,ENSG00000104979,-6.4012,3.566321051891217e-213,1.0287464572763125e-211,0.0144,1.2218,0.01,0.666
RPL36A,ENSG00000241343,-2.8121,4.519264691259207e-213,1.2977618201251102e-211,0.224,1.5739,0.113,0.759
PRDX6,ENSG00000117592,-2.9596,2.023672408001507e-212,5.785162152919106e-211,0.1894,1.4739,0.098,0.749
TRMT112,ENSG00000173113,-4.7205,3.7184427894805275e-211,1.0582621778097483e-209,0.0477,1.259,0.028,0.681
CUTA,ENSG00000112514,-5.1898,4.422621586765039e-211,1.2530761162500945e-209,0.0336,1.2316,0.019,0.673
COX17,ENSG00000138495,-3.9971,6.440699588073647e-211,1.816790259910155e-209,0.0825,1.3185,0.044,0.699
BLVRB,ENSG00000090013,-2.8447,8.826955276638807e-211,2.4789356779106783e-209,0.213,1.5307,0.096,0.768
HLA-DRB1,ENSG00000196126,-2.9188,2.617943077145838e-210,7.319906630177508e-209,0.2019,1.5278,0.1,0.749
COX14,ENSG00000178449,-5.756,9.277321452475324e-210,2.5826604480144185e-208,0.0227,1.2318,0.014,0.666
NDUFB4,ENSG00000065518,-4.5924,1.636786543893046e-209,4.5367453118774645e-208,0.052,1.2562,0.031,0.68
IER2,ENSG00000160888,-3.7258,1.598608297150716e-207,4.4117436772016504e-206,0.1076,1.4247,0.059,0.698
C16orf89,ENSG00000153446,-3.228,4.0424935222956674e-207,1.1108144915790896e-205,0.1539,1.443,0.077,0.726
NDUFA1,ENSG00000125356,-4.9482,6.003295226013803e-207,1.642532492096051e-205,0.0397,1.2281,0.023,0.669
CEBPD,ENSG00000221869,-2.3149,1.5290655648601328e-206,4.165723494009977e-205,0.3471,1.7277,0.167,0.799
JUN,ENSG00000177606,-2.4849,6.502089629216334e-206,1.763864739840601e-204,0.3131,1.753,0.141,0.789
ATP5PD,ENSG00000167863,-5.7259,1.1155133583826406e-205,3.0133040930887004e-204,0.0227,1.209,0.013,0.661
CLTA,ENSG00000122705,-4.8158,2.747723317001624e-205,7.391027909656265e-204,0.0433,1.2217,0.028,0.667
FKBP2,ENSG00000173486,-7.2054,5.9352819000368055e-205,1.589807651795573e-203,0.008,1.1962,0.004,0.652
MECOM,ENSG00000085276,1.66,9.157146278380512e-205,2.442544247894383e-203,2.2411,0.7091,0.798,0.394
WFDC2,ENSG00000101443,-2.3616,3.3611710685916744e-204,8.928110650946636e-203,0.3243,1.6673,0.155,0.796
RPL13A,ENSG00000142541,-1.7287,1.0986305951635916e-202,2.9061286490323224e-201,0.6583,2.1821,0.277,0.888
IFITM2,ENSG00000185201,-3.1961,3.2358397230862287e-202,8.524164559782937e-201,0.1559,1.4298,0.078,0.719
ATP5ME,ENSG00000169020,-3.458,6.703271315756983e-202,1.7585742649362456e-200,0.1241,1.3649,0.063,0.704
SPINT2,ENSG00000167642,-2.4638,4.596866629919049e-201,1.2010256051530304e-199,0.2773,1.5303,0.14,0.772
ROMO1,ENSG00000125995,-5.1251,6.4434285822998795e-201,1.676606416822928e-199,0.0346,1.2094,0.021,0.657
EEF2,ENSG00000167658,-1.9321,3.546780890801129e-200,9.191352918234634e-199,0.5109,1.95,0.222,0.868
MGST3,ENSG00000143198,-3.157,4.375976345543897e-200,1.1294270932324835e-198,0.153,1.3654,0.081,0.713
NAPSA,ENSG00000131400,-1.2241,3.303277542596905e-197,8.4912880379255115e-196,1.0763,2.5145,0.447,0.954
