rank,gene_symbol,ensembl_id,log2FC,pvalue,padj
126,IGKV3-20,ENSG00000239951,7.891250617135388,0.00263810336578244,0.06660164132185668
127,CP,ENSG00000047457,0.855440589453459,0.0027623273244960695,0.06918868676552754
128,LRP2,ENSG00000081479,-0.9815368915989389,0.002826853107635868,0.06974656792506233
129,GSN,ENSG00000148180,0.5389814017597923,0.0028284524559361963,0.06974656792506233
130,RPL27A,ENSG00000166441,-0.4506807099469984,0.002931497464420683,0.07173148795632456
131,COLEC12,ENSG00000158270,-0.8628844177278903,0.00303532858366923,0.07370519255459405
132,HMGCS1,ENSG00000112972,-0.9608395632977299,0.003070653852740188,0.07386468968005729
133,ROS1,ENSG00000047936,-1.1412773447006856,0.003088338172727953,0.07386468968005729
134,ESAM,ENSG00000149564,-1.4564265956480364,0.00315358831178484,0.07453322705549233
135,PDPN,ENSG00000162493,-15.261846229711765,0.0031865824833533342,0.07453322705549233
136,LINC01610,ENSG00000237643,-16.368488609002608,0.0031865824833533342,0.07453322705549233
137,APOC1,ENSG00000130208,-0.97382113375535,0.00339198224539821,0.07875508000091469
138,KLK10,ENSG00000129451,1.0833822122165133,0.0034411355445204987,0.07875508000091469
139,SELENBP1,ENSG00000143416,-0.45806772106593463,0.003489092132793177,0.07875508000091469
140,RTN4,ENSG00000115310,-0.5211420569315036,0.003490694681805704,0.07875508000091469
141,EZR,ENSG00000092820,0.30466334362858793,0.0034908727696098623,0.07875508000091469
142,SFTPB,ENSG00000168878,-0.2869940663109263,0.003613782783654107,0.08038771353009591
143,ANXA2,ENSG00000182718,0.2853064906960914,0.003613782783654107,0.08038771353009591
144,LBH,ENSG00000213626,1.3922393323153854,0.0036624748919045678,0.08090508771630854
145,GPAT3,ENSG00000138678,-2.277213492659977,0.0036895341153644233,0.08094074497223608
146,RNH1,ENSG00000023191,-0.6466498107395844,0.0037248236242313645,0.08115523252520528
147,SERPINF1,ENSG00000132386,0.93169593207057,0.003751044224772786,0.08117055563947097
148,PEG10,ENSG00000242265,-1.093881819230421,0.0041480003037270355,0.08915397950105203
149,BICDL1,ENSG00000135127,-15.488144169698032,0.004252265129778595,0.09078157971695108
150,SFTA2,ENSG00000196260,-0.49811197569907756,0.004362715059845847,0.0925186440357976
151,LY6E,ENSG00000160932,0.6739437298777285,0.004402061069082134,0.09273480967384283
