logFC,pval,nhood_annotation,contrast,SpatialFDR
1.570615463574361,0.007237568737980645,Proximal Epithelium,IPF_vs_Normal,0.01726598988291456
-1.211534893081288,0.10455494961736987,Macrophages,IPF_vs_Normal,0.16530857685583503
1.2840708143795507,0.0025111468793432685,Myeloid,IPF_vs_Normal,0.007680193385623631
-34.23046008085198,0.9989048525454461,Myeloid,IPF_vs_Normal,0.999127929492261
6.975402223632919,2.064784469187409e-06,Myeloid,IPF_vs_Normal,2.0288614332694036e-05
1.2532641786210073,0.026024578400214948,Lymphatic EC,IPF_vs_Normal,0.048632578634750595
2.334275369582107,2.387422635752816e-05,Myeloid,IPF_vs_Normal,0.0001490900536380139
1.7213944338534295,0.0007030382124327794,Myeloid,IPF_vs_Normal,0.002703097012026931
-2.9257602048129328,0.00715727662041091,Myeloid,IPF_vs_Normal,0.017114724414265422
2.3458827558132205,0.00018425017725565423,Lymphoid,IPF_vs_Normal,0.0008529985970592896
3.4940029186283863,1.9187179325256387e-05,Proximal Epithelium,IPF_vs_Normal,0.00012425338626413619
-3.680810106703351,0.013928083543393529,Lymphoid,IPF_vs_Normal,0.028679670796772798
-33.94458445004031,0.9988629852373522,Airway Epithelium,IPF_vs_Normal,0.999127929492261
0.8832365101102712,0.13338744019448245,Myeloid,IPF_vs_Normal,0.2056278484515759
-0.15545712550568103,0.8204551662248272,Myeloid,IPF_vs_Normal,0.999127929492261
3.8617471605169333,1.37991394461914e-07,Myeloid,IPF_vs_Normal,2.57766854116586e-06
-3.1626218634850614,0.03509130057319921,Myeloid,IPF_vs_Normal,0.06286728909202266
-0.39069512475035656,0.463357664883016,Airway Epithelium,IPF_vs_Normal,0.6190638409977111
-4.8173317026407085,0.0012234799511673775,Airway Epithelium,IPF_vs_Normal,0.004291203857135772
-0.0012624304637779767,0.9979882098110876,Myeloid,IPF_vs_Normal,0.999127929492261
-33.05823247680463,0.9985093463691764,Lymphoid,IPF_vs_Normal,0.999127929492261
2.2717096964910435,4.37866510715685e-07,Endothelial (Macro),IPF_vs_Normal,6.274457685917691e-06
1.915646783801788,0.002875293359626577,Proximal Epithelium,IPF_vs_Normal,0.008521791566916275
-2.951792626933012,0.00015887467845611227,Myeloid,IPF_vs_Normal,0.0007504948325696017
1.8489331762049583,0.0007160828599771492,Proximal Epithelium,IPF_vs_Normal,0.0027439394747910697
4.919574978878182,5.722833939136667e-06,Myeloid,IPF_vs_Normal,4.498614646278901e-05
-32.77521831619141,0.9987089294647813,Airway Epithelium,IPF_vs_Normal,0.999127929492261
2.6578320122783885,8.588306761398645e-05,Myeloid,IPF_vs_Normal,0.0004395487640653109
-5.190484165596085,0.0004873077574763244,Airway Epithelium,IPF_vs_Normal,0.0019837370748756146
-32.85674278734289,0.9984799432296657,Airway Epithelium,IPF_vs_Normal,0.999127929492261
3.975991345979254,1.539317206396068e-05,Proximal Epithelium,IPF_vs_Normal,0.00010315139205978384
-2.1368647505590777,0.020207472503595978,Airway Epithelium,IPF_vs_Normal,0.0392512065503535
-2.987936560931463,0.0009813134502987563,Airway Epithelium,IPF_vs_Normal,0.0035745875123134262
-2.4929418154672986,0.005265903135017036,Myeloid,IPF_vs_Normal,0.013631186623292083
-0.6268313133903829,0.20113921238331967,Myeloid,IPF_vs_Normal,0.29611222223592365
1.8983037374050638,0.00015974048973562595,Proximal Epithelium,IPF_vs_Normal,0.0007536604830520382
,,Lymphoid,IPF_vs_Normal,
1.0234092222027267,0.057383946288560035,Lymphatic EC,IPF_vs_Normal,0.09699468330449164
4.777056133409349,1.1421763212060324e-05,Proximal Epithelium,IPF_vs_Normal,8.016462744208084e-05
1.039375963798703,0.0017841120638193212,Myeloid,IPF_vs_Normal,0.005834643273407422
3.3889862889317475,5.759810381073603e-06,Proximal Epithelium,IPF_vs_Normal,4.523988096618945e-05
